ParkName,State,partySize,RateType,BookingType,Equipment
Dollar Lake,NS ,2,Senior,CampsitePermit,LT 20ft
Thomas Raddall,QC ,1,Senior,CampsitePermit,LT 30ft
Mira River,SWAZILAND ,3,Full,CampsitePermit,LT 20ft
Amherst Shore,NS ,2,Full,CampsitePermit,Tents
Caribou Munroes,NS ,4,Full,CampsitePermit,LT 20ft
Salsman,NS ,2,Full,CampsitePermit,LT 40ft
Mira River,VT ,2,Senior,CampsitePermit,ST
Five Islands,NS ,2,Full,CampsitePermit,LT 20ft
Graves Island,NS ,5,Full,CampsitePermit,ST
Whycocomagh,ME ,2,Full,CampsitePermit,ST
Five Islands,MD ,2,Full,CampsitePermit,ST
Rissers Beach,NS ,3,Full,CampsitePermit,LT 30ft
Laurie,NS ,3,Full,CampsitePermit,ST
Smileys,NS ,3,Full,CampsitePermit,ST
Caribou Munroes,CA ,2,Senior,CampsitePermit,LT 20ft
Caribou Munroes,NS ,4,Full,CampsitePermit,ST
Laurie,NS ,1,Full,CampsitePermit,ST
Smileys,NS ,4,Full,CampsitePermit,Tents
Rissers Beach,NS ,6,Full,CampsitePermit,Tents
Amherst Shore,SK ,1,Full,CampsitePermit,ST
Salsman,NS ,2,Full,CampsitePermit,ST
Blomidon,NS ,2,Full,CampsitePermit,ST
Ellenwood Lake,NS ,4,Full,CampsitePermit,ST
Thomas Raddall,NS ,4,Full,CampsitePermit,ST
Rissers Beach,NS ,1,Full,CampsitePermit,ST
Thomas Raddall,NS ,3,Full,CampsitePermit,ST
Amherst Shore,QC ,2,Full,CampsitePermit,ST
Dollar Lake,NS ,2,Full,CampsitePermit,ST
Smileys,NS ,3,Full,CampsitePermit,ST
Battery,ON ,2,Full,CampsitePermit,LT 30ft
Graves Island,NS ,4,Full,CampsitePermit,ST
Caribou Munroes,ON ,1,Senior,CampsitePermit,LT 20ft
Mira River,NS ,4,Full,CampsitePermit,ST
Mira River,NS ,4,Full,CampsitePermit,LT 20ft
Graves Island,ON ,1,Senior,CampsitePermit,ST
Rissers Beach,NS ,5,Full,CampsitePermit,LT 30ft
Dollar Lake,NS ,6,Full,CampsitePermit,LT 20ft
Rissers Beach,NS ,5,Full,CampsitePermit,ST
Graves Island,ON ,3,Full,CampsitePermit,LT 30ft
Blomidon,NS ,2,Full,CampsitePermit,ST
Five Islands,NY ,2,Full,CampsitePermit,ST
Whycocomagh,NS ,2,Full,CampsitePermit,ST
Caribou Munroes,NS ,2,Full,CampsitePermit,LT 20ft
Five Islands,PE ,2,Full,CampsitePermit,ST
Mira River,NS ,4,Full,CampsitePermit,LT 30ft
Five Islands,ON ,4,Full,CampsitePermit,ST
Smileys,PE ,4,Full,CampsitePermit,LT 30ft
Porters Lake,NS ,3,Full,CampsitePermit,ST
Graves Island,NS ,3,Full,CampsitePermit,LT 30ft
Caribou Munroes,NS ,3,Full,CampsitePermit,Tents
Dollar Lake,NS ,4,Full,CampsitePermit,ST
Thomas Raddall,NS ,6,Full,CampsitePermit,Tents
Graves Island,NB ,1,Full,CampsitePermit,ST
Rissers Beach,BC ,2,Senior,CampsitePermit,LT 20ft
Graves Island,NS ,5,Full,CampsitePermit,LT 30ft
Thomas Raddall,SWITZERLAND ,2,Full,CampsitePermit,LT 20ft
Caribou Munroes,NB ,4,Full,CampsitePermit,ST
Battery,NS ,2,Full,CampsitePermit,ST
Graves Island,NS ,4,Full,CampsitePermit,LT 20ft
Mira River,NS ,2,Full,CampsitePermit,ST
Mira River,NS ,2,Full,CampsitePermit,LT 30ft
Battery,AB ,2,Full,CampsitePermit,LT 30ft
Amherst Shore,BC ,1,Full,CampsitePermit,ST
Cape Chignecto,MA ,4,Full,BackcountryPermit,ST
Whycocomagh,ISLE OF MAN ,2,Full,CampsitePermit,LT 30ft
Graves Island,NS ,3,Full,CampsitePermit,ST
Battery,QC ,2,Full,CampsitePermit,LT 20ft
Laurie,NS ,6,Full,CampsitePermit,Tents
Graves Island,NS ,1,Full,CampsitePermit,ST
Dollar Lake,NS ,6,Full,CampsitePermit,Tents
Amherst Shore,MI ,2,Full,CampsitePermit,LT 20ft
Graves Island,NS ,2,Full,CampsitePermit,ST
The Islands,BC ,2,Senior,CampsitePermit,LT 20ft
Five Islands,NB ,2,Full,CampsitePermit,ST
Five Islands,NB ,6,Full,CampsitePermit,Tents
Salsman,NS ,3,Full,CampsitePermit,ST
Battery,QC ,2,Full,CampsitePermit,ST
Rissers Beach,NS ,2,Full,CampsitePermit,LT 20ft
Battery,ON ,3,Full,CampsitePermit,LT 30ft
Five Islands,NS ,2,Senior,CampsitePermit,LT 20ft
Rissers Beach,NS ,6,Full,CampsitePermit,Tents
Mira River,NS ,4,Full,CampsitePermit,LT 30ft
